Parent_node,Child_node,child_node_name,lot_size,leadtime,long_vacation_weeks,,,,,,
root,JPN,JPN,10,2,[],,,,,,
JPN,Platform,Platform,10,1,[],,,,,,        # self.自分をvalueとする
JPN,powerunit,powerunit,10,1,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,        all_value[week].append( len( node.psi4demand[week][3] ) )
JPN,Cockpit,Cockpit,10,1,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
JPN,Transmission,Transmission,10,1,[],,,,,,
JPN,Body,Body,10,1,[],,,,,,
Platform,frame,frame,10,1,[],,,,,,
Platform,wheels,wheels,10,1,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
powerunit,motor,motor,10,2,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
powerunit,buttery,buttery,10,2,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
Cockpit,stearing,stearing,10,3,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
Cockpit,monitor,monitor,10,2,[],,,,,,
Body,steel,steel,10,2,[],,,,,,
Body,windows,windows,10,1,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
Body,wireharness,wireharness,10,2,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
motor,core,core,10,2,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
motor,coil,coil,10,2,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
motor,cover,cover,10,2,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",,,,,,
